ITERATION, [OBJ_FUNC]MIN_VOLUME, [OBJ]OBJ_FUNC_DRESP:DRESP_VOLUME, [OBJ]OBJ_FUNC_TERM:DRESP_VOLUME, [CON]STRESS_CONSTRAINT:LE:DRESP_STRESS, [VAR]DRESP_VOLUME, [VAR]DRESP_STRESS, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
48, 5.3758891e+4, 5.3758891e+4, 5.3758891e+4, 7.9635907e+2, 5.3758891e+4, 7.9635907e+2, 0.0000000, 4.0826555e-3, 9.4580761e-4, 9.9000001e-1
49, 5.3660316e+4, 5.3660316e+4, 5.3660316e+4, 7.9590570e+2, 5.3660316e+4, 7.9590570e+2, 0.0000000, 4.3350989e-3, 1.0343934e-3, 9.9000001e-1
50, 5.3547383e+4, 5.3547383e+4, 5.3547383e+4, 7.9539838e+2, 5.3547383e+4, 7.9539838e+2, 0.0000000, 4.9789175e-3, 1.2134784e-3, 9.9000001e-1
51, 5.3418582e+4, 5.3418582e+4, 5.3418582e+4, 8.0881158e+2, 5.3418582e+4, 8.0881158e+2, 0.0000000, 5.7030558e-3, 1.4192086e-3, 9.9000001e-1
52, 5.3576492e+4, 5.3576492e+4, 5.3576492e+4, 7.8911200e+2, 5.3576492e+4, 7.8911200e+2, 0.0000000, 6.9190208e-3, 1.7032144e-3, 9.9000001e-1
53, 5.3334379e+4, 5.3334379e+4, 5.3334379e+4, 7.9053278e+2, 5.3334379e+4, 7.9053278e+2, 0.0000000, 1.0737416e-2, 2.3717175e-3, 9.9000001e-1
54, 5.3136223e+4, 5.3136223e+4, 5.3136223e+4, 7.9514734e+2, 5.3136223e+4, 7.9514734e+2, 0.0000000, 8.8811163e-3, 1.9198181e-3, 9.9000001e-1
55, 5.3019113e+4, 5.3019113e+4, 5.3019113e+4, 7.9583356e+2, 5.3019113e+4, 7.9583356e+2, 0.0000000, 5.2789636e-3, 1.1981494e-3, 9.9000001e-1
56, 5.2913406e+4, 5.2913406e+4, 5.2913406e+4, 7.9668225e+2, 5.2913406e+4, 7.9668225e+2, 0.0000000, 4.7835028e-3, 1.1272577e-3, 9.9000001e-1
57, 5.2821324e+4, 5.2821324e+4, 5.2821324e+4, 7.9696423e+2, 5.2821324e+4, 7.9696423e+2, 0.0000000, 4.1945218e-3, 1.1002125e-3, 9.9000001e-1
58, 5.2732820e+4, 5.2732820e+4, 5.2732820e+4, 7.9630896e+2, 5.2732820e+4, 7.9630896e+2, 0.0000000, 4.0502967e-3, 1.1599930e-3, 9.9000001e-1
59, 5.2629785e+4, 5.2629785e+4, 5.2629785e+4, 7.9425134e+2, 5.2629785e+4, 7.9425134e+2, 0.0000000, 4.7430182e-3, 1.3585370e-3, 9.9000001e-1
60, 5.2486715e+4, 5.2486715e+4, 5.2486715e+4, 7.9063489e+2, 5.2486715e+4, 7.9063489e+2, 0.0000000, 6.6153123e-3, 1.7389180e-3, 9.9000001e-1
61, 5.2279277e+4, 5.2279277e+4, 5.2279277e+4, 7.8635889e+2, 5.2279277e+4, 7.8635889e+2, 0.0000000, 9.6654063e-3, 2.3035994e-3, 9.9000001e-1
62, 5.2000871e+4, 5.2000871e+4, 5.2000871e+4, 7.8312177e+2, 5.2000871e+4, 7.8312177e+2, 0.0000000, 1.3180947e-2, 2.9415037e-3, 9.9000001e-1
63, 5.1667340e+4, 5.1667340e+4, 5.1667340e+4, 8.2867981e+2, 5.1667340e+4, 8.2867981e+2, 0.0000000, 1.6051194e-2, 3.4633516e-3, 9.9000001e-1
64, 5.2219027e+4, 5.2219027e+4, 5.2219027e+4, 7.7895221e+2, 5.2219027e+4, 7.7895221e+2, 0.0000000, 2.5704222e-2, 5.0068730e-3, 9.9000001e-1
